"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: charset","Param: sizeInMb"
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,032525","0,004721","s/op",1024,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,289225","0,007844","s/op",1024,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"1,366021","0,062459","s/op",1024,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"2,580089","0,067469","s/op",1024,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,024389","0,003790","s/op",1024,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,257353","0,005639","s/op",1024,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"1,375613","0,186692","s/op",1024,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"2,545861","0,037856","s/op",1024,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,024389","0,001152","s/op",1024,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,266827","0,003921","s/op",1024,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"1,281760","0,025420","s/op",1024,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"2,577143","0,022639","s/op",1024,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,029911","0,001309","s/op",2048,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,270943","0,003738","s/op",2048,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"1,469026","0,252821","s/op",2048,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"2,653641","0,012398","s/op",2048,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,023321","0,000846","s/op",2048,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,277747","0,005088","s/op",2048,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"1,334715","0,020000","s/op",2048,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"2,606953","0,011224","s/op",2048,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,023399","0,001132","s/op",2048,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,295739","0,022765","s/op",2048,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"1,338059","0,060215","s/op",2048,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"2,582227","0,022916","s/op",2048,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,030843","0,001874","s/op",4096,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.bytes_BufferedInputStream_ChannelInputStream","ss",1,10,"0,282056","0,002582","s/op",4096,UTF-8,100
